train dataset: size=1008
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
val dataset: size=336
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
model: #params=63.5M
epoch 191/1000, train: loss=0.0250, val: psnr=33.2024, val: ssim=0.9187, val: sam=17.6478, 25.9s 1.5h/7.7h
epoch 192/1000, train: loss=0.0245, val: psnr=32.4820, val: ssim=0.9455, val: sam=13.9943, 25.5s 1.5h/7.7h
epoch 193/1000, train: loss=0.0274, val: psnr=32.9729, val: ssim=0.9091, val: sam=14.5880, 25.3s 1.5h/7.7h
epoch 194/1000, train: loss=0.0235, val: psnr=33.5005, val: ssim=0.9510, val: sam=15.8267, 25.6s 1.5h/7.7h
epoch 195/1000, train: loss=0.0235, val: psnr=33.2528, val: ssim=0.9473, val: sam=14.5179, 25.7s 1.5h/7.7h
epoch 196/1000, train: loss=0.0231, val: psnr=32.5126, val: ssim=0.9290, val: sam=15.9504, 26.0s 1.5h/7.7h
epoch 197/1000, train: loss=0.0242, val: psnr=32.9187, val: ssim=0.9304, val: sam=13.7977, 25.6s 1.5h/7.6h
epoch 198/1000, train: loss=0.0310, val: psnr=32.5936, val: ssim=0.8917, val: sam=17.1636, 25.4s 1.5h/7.6h
epoch 199/1000, train: loss=0.0296, val: psnr=32.3133, val: ssim=0.9267, val: sam=15.9416, 25.7s 1.5h/7.6h
epoch 200/1000, train: loss=0.0287, val: psnr=31.3683, val: ssim=0.9261, val: sam=15.5269, 31.9s 1.5h/7.6h
epoch 201/1000, train: loss=0.0215, val: psnr=33.2858, val: ssim=0.9562, val: sam=13.6854, 26.7s 1.5h/7.6h
